institution_code,institution_abbreviation,institution_name,metric,year,value
H06,FS,University of Free State,Total,2009,27241
H06,FS,University of Free State,African,2010,18407
H06,FS,University of Free State,Coloured,2010,1561
H06,FS,University of Free State,Indian,2010,464
H06,FS,University of Free State,White,2010,9469
H06,FS,University of Free State,Total,2010,29901
H06,FS,University of Free State,African,2011,20321
H06,FS,University of Free State,Coloured,2011,1569
H06,FS,University of Free State,Indian,2011,443
H06,FS,University of Free State,White,2011,9250
H06,FS,University of Free State,Other,2011,3
H06,FS,University of Free State,Total,2011,31586
H06,FS,University of Free State,African,2012,21321
H06,FS,University of Free State,Coloured,2012,1523
H06,FS,University of Free State,Indian,2012,458
H06,FS,University of Free State,White,2012,9073
H06,FS,University of Free State,Total,2012,32375
H06,FS,University of Free State,African,2013,20680
H06,FS,University of Free State,Coloured,2013,1651
H06,FS,University of Free State,Indian,2013,578
H06,FS,University of Free State,White,2013,8968
H06,FS,University of Free State,Total,2013,31877
H06,FS,University of Free State,African,2014,19763
H06,FS,University of Free State,Coloured,2014,1653
H06,FS,University of Free State,Indian,2014,624
H06,FS,University of Free State,White,2014,8992
H06,FS,University of Free State,Total,2014,31032
H06,FS,University of Free State,African,2015,19409
H06,FS,University of Free State,Coloured,2015,1747
H06,FS,University of Free State,Indian,2015,684
H06,FS,University of Free State,White,2015,8578
H06,FS,University of Free State,Total,2015,30418
H06,FS,University of Free State,African,2016,24897
H06,FS,University of Free State,Coloured,2016,2008
H06,FS,University of Free State,Indian,2016,763
H06,FS,University of Free State,White,2016,8578
H06,FS,University of Free State,Other,2016,23
H06,FS,University of Free State,Total,2016,36269
H07,UJ,University of Johannesburg,African,2009,35924
H07,UJ,University of Johannesburg,Coloured,2009,1556
H07,UJ,University of Johannesburg,Indian,2009,2377
H07,UJ,University of Johannesburg,White,2009,9458
H07,UJ,University of Johannesburg,Total,2009,49315
H07,UJ,University of Johannesburg,African,2010,35894
H07,UJ,University of Johannesburg,Coloured,2010,1562
H07,UJ,University of Johannesburg,Indian,2010,2319
H07,UJ,University of Johannesburg,White,2010,8540
H07,UJ,University of Johannesburg,Total,2010,48315
H07,UJ,University of Johannesburg,African,2011,38945
H07,UJ,University of Johannesburg,Coloured,2011,1609
H07,UJ,University of Johannesburg,Indian,2011,2299
H07,UJ,University of Johannesburg,White,2011,7675
H07,UJ,University of Johannesburg,Total,2011,50528
H07,UJ,University of Johannesburg,African,2012,38390
H07,UJ,University of Johannesburg,Coloured,2012,1475
H07,UJ,University of Johannesburg,Indian,2012,2163
H07,UJ,University of Johannesburg,White,2012,6741
H07,UJ,University of Johannesburg,Total,2012,48769
H07,UJ,University of Johannesburg,African,2013,38648
H07,UJ,University of Johannesburg,Coloured,2013,1500
H07,UJ,University of Johannesburg,Indian,2013,2195
H07,UJ,University of Johannesburg,White,2013,6043
H07,UJ,University of Johannesburg,Total,2013,48386
H07,UJ,University of Johannesburg,African,2014,40681
H07,UJ,University of Johannesburg,Coloured,2014,1542
H07,UJ,University of Johannesburg,Indian,2014,2203
H07,UJ,University of Johannesburg,White,2014,5362
H07,UJ,University of Johannesburg,Other,2014,1
H07,UJ,University of Johannesburg,Total,2014,49789
H07,UJ,University of Johannesburg,African,2015,40943
H07,UJ,University of Johannesburg,Coloured,2015,1562
H07,UJ,University of Johannesburg,Indian,2015,2237
H07,UJ,University of Johannesburg,White,2015,4710
H07,UJ,University of Johannesburg,Total,2015,49452
H07,UJ,University of Johannesburg,African,2016,43618
H07,UJ,University of Johannesburg,Coloured,2016,1630
H07,UJ,University of Johannesburg,Indian,2016,2216
H07,UJ,University of Johannesburg,White,2016,4331
H07,UJ,University of Johannesburg,Other,2016,0
H07,UJ,University of Johannesburg,Total,2016,51795
