institution_code,institution_abbreviation,institution_name,year,gender,value
H01,CPUT,Cape Peninsula University of Technology,2016,Total,34455
H02,UCT,University of Cape Town,2009,Female,11970
H02,UCT,University of Cape Town,2009,Male,11794
H02,UCT,University of Cape Town,2009,Other,23
H02,UCT,University of Cape Town,2009,Total,23787
H02,UCT,University of Cape Town,2010,Female,12790
H02,UCT,University of Cape Town,2010,Male,11970
H02,UCT,University of Cape Town,2010,Other,12
H02,UCT,University of Cape Town,2010,Total,24772
H02,UCT,University of Cape Town,2011,Female,13127
H02,UCT,University of Cape Town,2011,Male,12152
H02,UCT,University of Cape Town,2011,Other,22
H02,UCT,University of Cape Town,2011,Total,25301
H02,UCT,University of Cape Town,2012,Female,13452
H02,UCT,University of Cape Town,2012,Male,12336
H02,UCT,University of Cape Town,2012,Other,17
H02,UCT,University of Cape Town,2012,Total,25805
H02,UCT,University of Cape Town,2013,Female,13709
H02,UCT,University of Cape Town,2013,Male,12400
H02,UCT,University of Cape Town,2013,Other,9
H02,UCT,University of Cape Town,2013,Total,26118
H02,UCT,University of Cape Town,2014,Female,13864
H02,UCT,University of Cape Town,2014,Male,12489
H02,UCT,University of Cape Town,2014,Other,4
H02,UCT,University of Cape Town,2014,Total,26357
H02,UCT,University of Cape Town,2015,Female,14589
H02,UCT,University of Cape Town,2015,Male,13208
H02,UCT,University of Cape Town,2015,Other,12
H02,UCT,University of Cape Town,2015,Total,27809
H02,UCT,University of Cape Town,2016,Female,15338
H02,UCT,University of Cape Town,2016,Male,13881
H02,UCT,University of Cape Town,2016,Other,13
H02,UCT,University of Cape Town,2016,Total,29232
H03,CUT,Central University of Technology,2009,Female,5873
H03,CUT,Central University of Technology,2009,Male,6332
H03,CUT,Central University of Technology,2009,Other,
H03,CUT,Central University of Technology,2009,Total,12205
H03,CUT,Central University of Technology,2010,Female,6042
H03,CUT,Central University of Technology,2010,Male,6541
H03,CUT,Central University of Technology,2010,Other,
H03,CUT,Central University of Technology,2010,Total,12583
H03,CUT,Central University of Technology,2011,Female,6013
H03,CUT,Central University of Technology,2011,Male,6631
H03,CUT,Central University of Technology,2011,Other,
H03,CUT,Central University of Technology,2011,Total,12644
H03,CUT,Central University of Technology,2012,Female,6078.999999999734
H03,CUT,Central University of Technology,2012,Male,6644.999999999621
H03,CUT,Central University of Technology,2012,Other,
H03,CUT,Central University of Technology,2012,Total,12723.999999999356
H03,CUT,Central University of Technology,2013,Female,6307
H03,CUT,Central University of Technology,2013,Male,6996
H03,CUT,Central University of Technology,2013,Other,
H03,CUT,Central University of Technology,2013,Total,13303
H03,CUT,Central University of Technology,2014,Female,6781
H03,CUT,Central University of Technology,2014,Male,7571
H03,CUT,Central University of Technology,2014,Other,
H03,CUT,Central University of Technology,2014,Total,14352
H03,CUT,Central University of Technology,2015,Female,6810
H03,CUT,Central University of Technology,2015,Male,7383
H03,CUT,Central University of Technology,2015,Other,
H03,CUT,Central University of Technology,2015,Total,14193
H03,CUT,Central University of Technology,2016,Female,7802
H03,CUT,Central University of Technology,2016,Male,7906
H03,CUT,Central University of Technology,2016,Other,
H03,CUT,Central University of Technology,2016,Total,15708
H04,DUT,Durban University of Technology,2009,Female,12030
H04,DUT,Durban University of Technology,2009,Male,11996
H04,DUT,Durban University of Technology,2009,Other,
H04,DUT,Durban University of Technology,2009,Total,24026
H04,DUT,Durban University of Technology,2010,Female,12537
H04,DUT,Durban University of Technology,2010,Male,12647
H04,DUT,Durban University of Technology,2010,Other,
H04,DUT,Durban University of Technology,2010,Total,25184
H04,DUT,Durban University of Technology,2011,Female,12333
H04,DUT,Durban University of Technology,2011,Male,12507
H04,DUT,Durban University of Technology,2011,Other,
H04,DUT,Durban University of Technology,2011,Total,24840
H04,DUT,Durban University of Technology,2012,Female,12149
H04,DUT,Durban University of Technology,2012,Male,12726
H04,DUT,Durban University of Technology,2012,Other,
H04,DUT,Durban University of Technology,2012,Total,24875
H04,DUT,Durban University of Technology,2013,Female,12658
H04,DUT,Durban University of Technology,2013,Male,13401
H04,DUT,Durban University of Technology,2013,Other,
H04,DUT,Durban University of Technology,2013,Total,26059
H04,DUT,Durban University of Technology,2014,Female,12746
H04,DUT,Durban University of Technology,2014,Male,13726
H04,DUT,Durban University of Technology,2014,Other,
H04,DUT,Durban University of Technology,2014,Total,26472
H04,DUT,Durban University of Technology,2015,Female,13181
H04,DUT,Durban University of Technology,2015,Male,13842
H04,DUT,Durban University of Technology,2015,Other,
H04,DUT,Durban University of Technology,2015,Total,27023
H04,DUT,Durban University of Technology,2016,Female,13941
H04,DUT,Durban University of Technology,2016,Male,14436
H04,DUT,Durban University of Technology,2016,Other,
H04,DUT,Durban University of Technology,2016,Total,28377
H05,FH,University of Fort Hare,2009,Female,5483
H05,FH,University of Fort Hare,2009,Male,4533
H05,FH,University of Fort Hare,2009,Other,
H05,FH,University of Fort Hare,2009,Total,10016
H05,FH,University of Fort Hare,2010,Female,6030
H05,FH,University of Fort Hare,2010,Male,4711
H05,FH,University of Fort Hare,2010,Other,
H05,FH,University of Fort Hare,2010,Total,10741
H05,FH,University of Fort Hare,2011,Female,6404
H05,FH,University of Fort Hare,2011,Male,4740
H05,FH,University of Fort Hare,2011,Other,
H05,FH,University of Fort Hare,2011,Total,11144
H05,FH,University of Fort Hare,2012,Female,6943
H05,FH,University of Fort Hare,2012,Male,5101
H05,FH,University of Fort Hare,2012,Other,
H05,FH,University of Fort Hare,2012,Total,12044
H05,FH,University of Fort Hare,2013,Female,7004
H05,FH,University of Fort Hare,2013,Male,5311
H05,FH,University of Fort Hare,2013,Other,
H05,FH,University of Fort Hare,2013,Total,12315
H05,FH,University of Fort Hare,2014,Female,7266
H05,FH,University of Fort Hare,2014,Male,5797
H05,FH,University of Fort Hare,2014,Other,
H05,FH,University of Fort Hare,2014,Total,13063
H05,FH,University of Fort Hare,2015,Female,7412
H05,FH,University of Fort Hare,2015,Male,6046
H05,FH,University of Fort Hare,2015,Other,
H05,FH,University of Fort Hare,2015,Total,13458
H05,FH,University of Fort Hare,2016,Female,7617
H05,FH,University of Fort Hare,2016,Male,6214
H05,FH,University of Fort Hare,2016,Other,
H05,FH,University of Fort Hare,2016,Total,13831
