institution_code,institution_abbreviation,institution_name,metric,year,value
H10,NMU,Nelson Mandela University,Headcounts,2012,26597
H10,NMU,Nelson Mandela University,FTEs,2012,19445.127
H10,NMU,Nelson Mandela University,Headcounts,2013,26361
H10,NMU,Nelson Mandela University,FTEs,2013,19664.483
H10,NMU,Nelson Mandela University,Headcounts,2014,26510
H10,NMU,Nelson Mandela University,FTEs,2014,19803.348
H10,NMU,Nelson Mandela University,Headcounts,2015,26305
H10,NMU,Nelson Mandela University,FTEs,2015,20001.561
H10,NMU,Nelson Mandela University,Headcounts,2016,27780
H10,NMU,Nelson Mandela University,FTEs,2016,21567.959
H11,NWU,North West University,Headcounts,2009,50589
H11,NWU,North West University,FTEs,2009,33050.4431
H11,NWU,North West University,Headcounts,2010,55732
H11,NWU,North West University,FTEs,2010,36453.349
H11,NWU,North West University,Headcounts,2011,56641
H11,NWU,North West University,FTEs,2011,39278.889
H11,NWU,North West University,Headcounts,2012,58752
H11,NWU,North West University,FTEs,2012,39610.9893
H11,NWU,North West University,Headcounts,2013,60975
H11,NWU,North West University,FTEs,2013,41033.38
H11,NWU,North West University,Headcounts,2014,63135
H11,NWU,North West University,FTEs,2014,42382.809
H11,NWU,North West University,Headcounts,2015,64070
H11,NWU,North West University,FTEs,2015,42555.557
H11,NWU,North West University,Headcounts,2016,63395
H11,NWU,North West University,FTEs,2016,43919.859
H12,UP,University of Pretoria,Headcounts,2009,55734
H12,UP,University of Pretoria,FTEs,2009,38818.239
H12,UP,University of Pretoria,Headcounts,2010,57114
H12,UP,University of Pretoria,FTEs,2010,39681.393
H12,UP,University of Pretoria,Headcounts,2011,58128
H12,UP,University of Pretoria,FTEs,2011,40473.402
H12,UP,University of Pretoria,Headcounts,2012,57508
H12,UP,University of Pretoria,FTEs,2012,40143.204
H12,UP,University of Pretoria,Headcounts,2013,57553
H12,UP,University of Pretoria,FTEs,2013,41001.473
H12,UP,University of Pretoria,Headcounts,2014,56376
H12,UP,University of Pretoria,FTEs,2014,40979.546
H12,UP,University of Pretoria,Headcounts,2015,55984
H12,UP,University of Pretoria,FTEs,2015,41794.026
H12,UP,University of Pretoria,Headcounts,2016,53232
